Date,横浜市,川崎市,厚木保健福祉事務所管内,相模原市,藤沢市,平塚保健福祉事務所管内,横須賀市,小田原保健福祉事務所管内,鎌倉保健福祉事務所管内,茅ヶ崎市保健所管内
2022-08-01,5934,3198,1788,524,601,493,614,200,304,744
2022-08-02,6990,1259,606,662,598,431,626,466,539,372
2022-08-03,5795,3210,1197,1587,575,867,899,429,713,454
2022-08-04,4088,3484,1239,1300,652,658,712,868,570,430
2022-08-05,5640,2807,693,1118,637,266,617,659,448,289
2022-08-06,5525,2802,1849,1049,639,460,640,583,549,0
2022-08-07,5736,2712,563,1416,611,285,428,323,476,0
2022-08-08,5707,2122,1190,533,623,757,475,186,322,709
2022-08-09,6488,1596,1254,759,651,906,540,554,474,387
2022-08-10,5293,2672,1048,940,668,604,493,411,452,380
2022-08-11,3245,3073,1662,1104,654,778,457,543,489,0
2022-08-12,4977,2116,1532,828,630,410,606,137,555,629
2022-08-13,4323,1305,877,535,612,448,518,530,416,0
2022-08-14,4489,1925,539,908,624,415,297,215,288,0
2022-08-15,3740,1439,1080,489,635,359,498,149,342,316
2022-08-16,3477,1147,774,539,630,375,669,391,397,208
2022-08-17,3234,1626,1550,850,599,367,666,367,407,275
2022-08-18,2130,2527,1721,872,656,489,520,505,376,211
2022-08-19,2631,2384,1003,750,659,623,464,398,439,198
2022-08-20,4270,1755,2060,877,640,470,364,503,392,0
2022-08-21,4385,2007,1334,888,506,464,515,257,379,0
2022-08-22,3938,1595,1462,429,273,280,266,141,233,593
2022-08-23,3959,1030,1018,651,434,521,300,486,326,260
2022-08-24,3185,1988,1324,826,564,283,513,463,316,325
2022-08-25,1904,1955,1083,657,421,411,382,461,272,294
2022-08-26,3578,1576,876,590,412,862,318,443,267,171
2022-08-27,4310,1470,783,597,318,445,305,328,245,0
2022-08-28,2632,1444,1308,653,318,388,391,217,184,0
2022-08-29,3368,1027,1168,211,231,310,191,130,129,436
2022-08-30,3179,789,647,527,304,276,229,446,175,202
2022-08-31,2041,1290,472,669,382,291,404,336,229,251
2022-09-01,1174,1724,725,438,337,343,318,297,205,196
2022-09-02,2736,1198,929,444,242,429,191,275,169,150
2022-09-03,3222,1048,259,458,344,250,240,242,132,0
2022-09-04,2583,895,562,427,257,265,256,163,194,0
2022-09-05,2245,937,817,174,188,151,125,115,79,345
2022-09-06,2271,629,392,366,242,136,201,299,148,140
2022-09-07,1510,1289,414,615,302,321,331,252,179,187
2022-09-08,856,1371,730,461,259,253,220,192,196,139
2022-09-09,2860,914,650,363,215,275,211,201,167,131
2022-09-10,2455,897,531,436,239,235,175,220,147,0
2022-09-11,2242,1227,461,378,177,206,265,167,186,0
2022-09-12,1905,680,848,130,140,197,148,86,78,264
2022-09-13,1860,704,291,285,267,105,175,226,219,146
2022-09-14,1549,1323,372,498,241,267,329,175,217,168
2022-09-15,751,1153,674,375,194,213,268,152,140,121
2022-09-16,2108,1079,318,337,157,238,233,119,119,75
2022-09-17,2446,861,524,306,156,167,176,124,154,0
2022-09-18,1988,960,363,359,222,151,204,96,113,0
2022-09-19,1428,477,337,93,103,121,80,60,60,183
2022-09-20,1631,428,205,79,95,55,64,50,64,111
2022-09-21,1170,586,108,264,205,91,146,235,136,33
2022-09-22,865,964,266,419,173,153,204,172,117,167
2022-09-23,2205,901,385,319,158,164,190,148,114,90
2022-09-24,2200,655,316,146,100,143,115,49,70,0
2022-09-25,1350,436,360,279,101,48,93,129,68,0
2022-09-26,1125,600,275,130,97,114,186,66,81,244
